City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Faanui,76,PF,1547684288,99,-16.48,-151.75,84.62,12.24
Puerto Ayora,75,EC,1547683200,69,-0.74,-90.35,82.4,14.99
Mataura,68,NZ,1547684291,89,-46.19,168.86,63.42,7.76
Busselton,68,AU,1547684292,100,-33.64,115.35,66.93,9.78
Vaini,0,IN,1547684293,84,15.34,74.49,57.89,3.18
Manzanillo,44,CU,1547684295,96,20.34,-77.12,79.94,7.43
Lompoc,90,US,1547682960,93,34.64,-120.46,64.04,10.29
Saint-Philippe,1,CA,1547682900,62,45.36,-73.48,13.64,4.7
Ulaangom,44,MN,1547684299,58,49.98,92.07,-10.79,0.72
Kapaa,20,US,1547682960,42,22.08,-159.32,80.96,19.46
Lavrentiya,92,RU,1547684302,97,65.58,-170.99,26.43,6.76
Opuwo,12,NA,1547684304,59,-18.06,13.84,62.07,3.74
Khatanga,68,RU,1547684305,75,71.98,102.47,-17.13,7.76
Port Macquarie,0,AU,1547679600,51,-31.43,152.91,84.2,12.75
Meulaboh,8,ID,1547684309,100,4.14,96.13,76.61,4.18
Ostrovnoy,76,RU,1547684310,93,68.05,39.51,17.66,3.06
Ushuaia,40,AR,1547683200,57,-54.81,-68.31,48.2,26.4
Hermanus,0,ZA,1547684313,93,-34.42,19.24,61.26,4.07
Punta Arenas,75,CL,1547683200,61,-53.16,-70.91,48.2,21.92
Key Largo,1,US,1547682960,62,25.09,-80.45,66.92,8.05
Mount Gambier,80,AU,1547679600,54,-37.83,140.78,78.8,8.05
Hofn,0,IS,1547684318,100,64.25,-15.21,29.36,5.75
Along,20,IN,1547684319,40,28.17,94.8,41.51,2.28
Tuatapere,80,NZ,1547684320,100,-46.13,167.69,57.03,7.31
Jalu,0,LY,1547684322,78,29.03,21.55,36.87,2.95
Atuona,80,PF,1547684323,100,-9.8,-139.03,79.67,14.25
Georgetown,20,GY,1547683200,94,6.8,-58.16,80.6,6.93
Yellowknife,20,CA,1547679600,74,62.45,-114.38,-25.61,12.75
New Norfolk,75,AU,1547681400,77,-42.78,147.06,64.4,2.24
Barrow,8,AR,1547684331,57,-38.31,-60.23,64.86,14.81
Vostok,12,RU,1547684332,28,46.45,135.83,-20.91,8.43
Bluff,0,AU,1547684334,53,-23.58,149.07,84.26,7.09
Kaitangata,92,NZ,1547684335,99,-46.28,169.85,65.99,5.19
Hilo,75,US,1547682780,54,19.71,-155.08,78.08,13.87
Kodiak,90,US,1547682900,95,39.95,-94.76,32.0,8.05
Lebu,0,ET,1547684339,77,8.96,38.73,37.86,2.62
Tabou,0,CI,1547684340,99,4.42,-7.36,83.36,10.0
Riyadh,0,SA,1547683200,33,24.63,46.72,71.6,8.05
Port Alfred,92,ZA,1547684343,95,-33.59,26.89,71.61,20.4
Chapais,1,CA,1547679600,68,49.78,-74.86,-16.61,12.75
Beringovskiy,8,RU,1547684345,100,63.05,179.32,-4.94,0.72
Turukhansk,68,RU,1547684346,77,65.8,87.96,4.7,8.21
Dunedin,64,NZ,1547684349,80,-45.87,170.5,67.7,4.18
Parati,20,BR,1547683200,61,-20.51,-54.63,80.6,6.93
Palauig,0,PH,1547684352,97,15.44,119.9,71.97,4.97
Cidreira,92,BR,1547684353,93,-30.17,-50.22,76.47,9.66
Berlevag,68,NO,1547684355,100,70.86,29.09,16.49,2.95
Albany,75,US,1547682840,51,42.65,-73.75,32.0,20.8
Ilulissat,56,GL,1547682600,71,69.22,-51.1,6.8,12.75
Lima,75,PE,1547683200,78,-12.06,-77.04,73.4,12.75
Castro,75,CL,1547683200,71,-42.48,-73.76,55.4,6.93
Ribeira Grande,64,PT,1547684363,100,38.52,-28.7,60.59,4.52
Saint George,0,GR,1547682600,59,39.45,22.34,37.4,4.7
Choya,92,RU,1547684366,73,52.01,86.55,12.12,2.51
Athabasca,64,CA,1547684367,80,54.72,-113.29,0.2,5.64
Dikson,76,RU,1547684369,98,73.51,80.55,10.86,13.13
Petatlan,75,MX,1547682420,66,17.52,-101.27,84.2,4.7
Flinders,0,AU,1547679600,61,-34.58,150.85,82.4,4.7
Hithadhoo,68,MV,1547684373,100,-0.6,73.08,77.96,2.95
Ponta Delgada,20,PT,1547681400,81,37.73,-25.67,50.0,4.7
Bethel,90,US,1547682960,80,60.79,-161.76,17.06,9.17
Rikitea,56,PF,1547684377,99,-23.12,-134.97,80.61,10.0
Teya,75,MX,1547682300,57,21.05,-89.07,75.2,12.75
Jamestown,80,AU,1547684379,81,-33.21,138.6,79.85,2.84
Iqaluit,20,CA,1547681640,75,63.75,-68.52,-14.81,5.82
Kerouane,0,GN,1547684383,67,12.23,-12.34,64.14,1.95
Manacapuru,20,BR,1547683200,88,-3.3,-60.62,78.8,5.82
Mar del Plata,0,AR,1547684386,34,-46.43,-67.52,66.89,5.08
Polunochnoye,36,RU,1547684387,83,60.87,60.43,24.14,13.58
Te Anau,64,NZ,1547684388,73,-45.41,167.72,67.11,2.95
Bambous Virieux,75,MU,1547683200,88,-20.34,57.76,78.8,3.36
Sistranda,75,NO,1547682600,92,63.73,8.83,23.0,8.05
Veinticinco de Mayo,20,AR,1547684392,89,-27.38,-54.75,78.5,5.64
Ribera,48,IT,1547684394,92,37.5,13.27,42.36,4.97
Nuevo Progreso,90,US,1547683140,80,26.05,-97.95,64.94,6.93
Benavente,75,PT,1547681400,100,38.98,-8.82,50.0,1.12
Longyearbyen,40,NO,1547682600,71,78.22,15.63,6.8,11.41
Arraial do Cabo,20,BR,1547679600,83,-22.97,-42.02,78.8,4.7
Butaritari,92,KI,1547684386,100,3.07,172.79,84.62,19.51
Bowen,75,AU,1547683200,66,-20.01,148.25,84.2,12.75
Goundam,0,ML,1547684405,37,16.42,-3.66,66.26,10.78
Ayna,0,ES,1547679600,100,38.55,-2.07,33.8,1.12
Qaanaaq,0,GL,1547684384,100,77.48,-69.36,-22.49,9.1
Port Lincoln,92,AU,1547684410,62,-34.72,135.86,79.44,22.53
Tiksi,20,RU,1547684412,0,71.64,128.87,-41.79,6.87
Coquimbo,0,CL,1547683200,82,-29.95,-71.34,62.6,5.82
Port Hardy,75,CA,1547679600,65,50.7,-127.42,46.4,19.46
Port-Gentil,40,GA,1547679600,88,-0.72,8.78,82.4,9.17
General Roca,0,AR,1547683200,23,-39.03,-67.58,75.2,4.7
Ciudad Bolivar,76,VE,1547684418,56,8.12,-63.55,84.21,15.93
Tanete,64,ID,1547684419,80,-3.94,119.78,80.39,3.18
Pontes e Lacerda,20,BR,1547684421,79,-15.23,-59.33,79.22,3.74
Isangel,8,VU,1547684422,96,-19.55,169.27,81.2,10.22
Mahebourg,75,MU,1547683200,88,-20.41,57.7,78.8,3.36
Tasiilaq,92,GL,1547682600,85,65.61,-37.64,19.4,33.33
Alofi,75,NU,1547683200,74,-19.06,-169.92,86.0,9.17
Griffith,0,AU,1547683200,13,-34.29,146.06,105.8,12.75
Cape Town,0,ZA,1547683200,73,-33.93,18.42,69.8,3.36
Saint Anthony,90,US,1547682960,85,43.97,-111.68,35.06,5.82
Krasnovishersk,80,RU,1547684431,87,60.4,57.08,27.42,20.29
San Patricio,20,PY,1547684432,86,-26.98,-56.83,82.41,1.28
Zhigalovo,80,RU,1547684433,81,54.81,105.15,2.31,2.62
Fortuna,0,ES,1547681400,81,38.18,-1.13,46.4,8.05
Tamasane,32,BW,1547684436,91,-22.42,27.4,68.91,7.87
Pierre,90,US,1547682780,87,44.37,-100.35,15.08,11.41
Katsuura,75,JP,1547683200,56,33.93,134.5,42.8,8.05
Cherskiy,76,RU,1547684393,81,68.75,161.3,-26.13,3.74
Hobart,75,AU,1547681400,77,-42.88,147.33,64.4,2.24
Maniitsoq,68,GL,1547684443,100,65.42,-52.9,20.13,18.5
Chokurdakh,0,RU,1547684384,0,70.62,147.9,-51.51,2.73
Acapulco,90,MX,1547682360,78,16.86,-99.88,80.6,3.36
Vicar,20,ES,1547681400,87,36.83,-2.64,51.8,3.36
Ponta do Sol,32,BR,1547684402,70,-20.63,-46.0,73.19,3.74
Keetmanshoop,0,NA,1547683200,23,-26.57,18.15,73.4,6.93
Kazachinskoye,80,RU,1547684453,80,57.69,93.28,12.21,5.41
Westport,8,IE,1547684454,97,53.8,-9.52,42.77,22.53
Marawi,88,PH,1547684456,93,8.0,124.29,69.72,2.73
Labuhan,76,ID,1547684457,88,-2.54,115.51,77.28,2.06
Lewistown,90,US,1547682900,99,40.39,-90.15,33.08,8.05
Hammerfest,0,NO,1547682600,73,70.66,23.68,21.2,13.87
Bredasdorp,80,ZA,1547683200,83,-34.53,20.04,71.6,8.05
Bodmin,20,GB,1547679000,75,50.47,-4.72,44.6,16.11
Moron,44,VE,1547684463,66,10.49,-68.2,74.45,3.29
Necochea,0,AR,1547684466,70,-38.55,-58.74,64.86,15.03
Puerto Madero,0,AR,1547683200,69,-34.61,-58.36,78.8,6.93
Hambantota,8,LK,1547684452,100,6.12,81.12,77.46,17.49
Sobolevo,24,RU,1547684470,85,54.43,31.9,20.27,10.45
Nakusp,88,CA,1547684472,85,50.24,-117.8,20.04,1.5
Lorengau,44,PG,1547684430,95,-2.02,147.27,84.84,12.01
Jizan,0,SA,1547683200,83,16.89,42.56,75.2,3.36
Mattru,0,SL,1547684477,75,7.62,-11.83,80.07,6.53
Sioux Lookout,20,CA,1547683200,76,50.1,-91.92,-7.61,3.36
Airai,36,TL,1547684393,82,-8.93,125.41,75.93,2.06
Nhulunbuy,40,AU,1547683200,70,-12.18,136.78,86.0,5.82
Husavik,0,CA,1547684398,55,50.56,-96.99,-19.34,3.62
Ahuimanu,40,US,1547683020,56,21.44,-157.84,82.04,9.17
Union,90,US,1547683080,79,47.36,-123.1,48.92,3.96
Alta Floresta,24,BR,1547684489,92,-9.87,-56.08,74.49,1.95
Nanortalik,88,GL,1547684429,98,60.14,-45.24,28.37,9.66
Balabac,88,PH,1547684491,100,7.99,117.06,81.02,17.05
Sur,0,OM,1547684493,100,22.57,59.53,68.82,6.08
Portland,75,US,1547679360,53,45.52,-122.67,48.02,18.34
Kostelec nad Labem,0,CZ,1547681400,69,50.23,14.59,35.6,8.05
Pangai,75,TO,1547683200,84,-19.8,-174.35,86.0,6.93
Nikolskoye,90,RU,1547683200,79,59.7,30.79,23.0,4.47
Thompson,20,CA,1547679600,75,55.74,-97.86,-16.61,9.17
Mackay,90,CA,1547684220,92,53.65,-115.58,15.8,9.17
Kavieng,68,PG,1547684420,96,-2.57,150.8,86.28,7.99
College,1,US,1547683080,85,64.86,-147.8,3.92,4.7
Yar-Sale,68,RU,1547684484,89,66.83,70.83,4.07,7.2
Almeirim,75,PT,1547681400,100,39.21,-8.63,50.0,1.12
Port Elizabeth,90,US,1547682960,75,39.31,-74.98,39.02,4.7
Sharjah,0,AE,1547683200,77,25.36,55.39,68.0,4.7
Cabo San Lucas,40,MX,1547682180,65,22.89,-109.91,77.0,8.05
Santa Isabel do Rio Negro,48,BR,1547684510,95,-0.41,-65.02,77.19,2.95
Nelson Bay,0,AU,1547683200,55,-32.72,152.14,87.8,5.82
Mtimbira,20,TZ,1547684513,95,-8.78,36.35,65.81,2.17
Hvide Sande,92,DK,1547682600,93,56.01,8.13,41.0,10.29
Banjar,56,ID,1547684515,95,-7.37,108.54,73.64,1.61
Isabela,12,PH,1547684517,81,10.2,122.99,74.81,3.96
El Alto,75,BO,1547683200,75,-16.5,-68.19,46.4,4.7
Hamilton,20,CA,1547683200,72,43.26,-79.87,23.0,5.82
Bhimunipatnam,0,IN,1547683200,93,17.88,83.43,64.4,2.24
Florian,1,US,1547684100,77,48.44,-96.63,-0.94,8.05
Jiuquan,12,CN,1547684523,47,39.73,98.49,-7.46,1.61
Bonthe,0,SL,1547684524,88,7.53,-12.5,80.16,5.41
Haines Junction,80,CA,1547684411,82,60.75,-137.51,6.99,2.39
Avarua,75,CK,1547683200,62,-21.21,-159.78,86.0,12.75
Norman Wells,20,CA,1547679600,70,65.28,-126.83,-4.01,24.16
Buritis,68,BR,1547684530,50,-15.62,-46.42,82.68,4.18
Klaksvik,64,FO,1547682600,55,62.23,-6.59,37.4,29.97
Luderitz,0,NA,1547684418,85,-26.65,15.16,60.27,12.91
Neryungri,0,RU,1547684534,0,56.66,124.71,-43.64,2.73
Buraydah,0,SA,1547683200,58,26.33,43.97,57.2,10.29
Elesbao Veloso,36,BR,1547684538,93,-6.2,-42.14,74.72,1.95
Godhra,0,IN,1547683200,82,22.78,73.62,55.4,1.72
Torbay,90,CA,1547679600,85,47.66,-52.73,23.0,5.82
Vao,92,EE,1547684541,94,59.1,26.19,21.21,10.0
Richards Bay,92,ZA,1547684412,100,-28.77,32.06,71.75,4.07
Sola,20,NO,1547682600,80,58.89,5.65,37.4,12.75
Bayangol,48,MN,1547684545,55,48.91,106.09,-13.08,2.73
Lagoa,40,PT,1547681400,81,37.14,-8.45,53.6,3.36
Mehamn,48,NO,1547684550,88,71.03,27.85,12.71,1.28
Sitka,80,US,1547684456,93,37.17,-99.65,39.8,5.08
Khandyga,0,RU,1547684553,0,62.65,135.58,-52.64,2.51
Severo-Kurilsk,24,RU,1547684391,100,50.68,156.12,26.43,24.54
Caravelas,8,BR,1547684499,100,-17.73,-39.27,80.66,14.58
Nioro,0,GM,1547684445,35,13.79,-15.05,73.19,11.12
Umm Kaddadah,0,SD,1547684559,42,13.6,26.69,54.65,11.68
Lar,0,IR,1547683200,71,27.66,54.32,50.0,1.95
Honiara,92,SB,1547684561,86,-9.43,159.96,81.02,3.06
Maumere,92,ID,1547684564,100,-8.63,122.22,74.9,7.76
Khasan,0,RU,1547684568,87,42.43,130.64,16.62,18.61
Danilov,75,RU,1547683200,79,58.19,40.17,23.0,8.95
Saint-Georges,68,CA,1547684463,58,46.12,-70.67,15.14,11.68
Churhat,8,IN,1547684572,87,24.43,81.67,44.52,2.84
Narsaq,88,GL,1547682600,43,60.91,-46.05,33.8,11.41
Saskylakh,76,RU,1547684399,75,71.97,114.09,-17.36,13.8
At-Bashi,76,KG,1547684575,75,41.17,75.81,7.44,1.95
Maceio,40,BR,1547683200,88,-9.67,-35.74,77.0,3.36
Udachnyy,48,RU,1547684578,65,66.42,112.4,-15.51,5.19
Palmer,0,AU,1547683200,51,-34.85,139.16,84.2,16.11
Wangkui,0,CN,1547684580,25,46.83,126.5,-17.13,8.99
Vila,75,IT,1547682600,93,45.18,8.4,42.8,4.7
Den Helder,90,NL,1547682900,87,52.96,4.76,44.6,20.8
Heilbron,0,ZA,1547684585,90,-27.29,27.97,65.94,12.24
Pinjaur,0,IN,1547684587,78,30.8,76.92,42.14,2.95
Nichinan,75,JP,1547683200,56,31.65,131.31,44.6,18.34
San Andres,20,PH,1547684431,100,13.32,122.68,77.28,16.49
Bilma,0,NE,1547684487,64,18.69,12.92,39.48,0.83
Touros,40,BR,1547683200,83,-5.2,-35.46,80.6,4.7
Uvira,88,CD,1547684593,100,-3.41,29.14,61.08,3.4
Leningradskiy,36,RU,1547684447,84,69.38,178.42,-5.34,18.84
Victoria,75,BN,1547683200,88,5.28,115.24,80.6,1.12
Kuching,75,MY,1547683200,100,1.56,110.34,75.2,3.36
Bayji,32,IQ,1547684598,72,34.93,43.49,40.29,5.97
Businga,68,CD,1547684599,89,3.34,20.89,72.02,4.18
Illapel,0,CL,1547684601,78,-31.63,-71.17,61.49,3.4
Pocone,12,BR,1547684602,70,-16.26,-56.62,83.09,5.64
San Cristobal,40,EC,1547683200,93,-0.39,-78.55,57.2,8.05
Deputatskiy,0,RU,1547684604,0,69.3,139.9,-55.79,2.51
Andra,88,RU,1547684606,86,62.52,65.89,13.92,10.11
Anadyr,75,RU,1547683200,77,64.73,177.51,-2.21,6.71
Shingu,75,JP,1547683200,52,33.72,135.99,44.6,13.87
Bambanglipuro,88,ID,1547684412,100,-7.95,110.28,73.19,3.96
Kawardha,0,IN,1547684612,78,22.01,81.23,41.19,1.5
Karratha,80,AU,1547684609,76,-20.74,116.85,84.39,6.2
Pevek,36,RU,1547684381,86,69.7,170.27,-5.84,13.69
Fairbanks,1,US,1547683080,85,64.84,-147.72,-0.58,4.7
Yulara,0,AU,1547683200,26,-25.24,130.99,96.8,8.05
Upernavik,56,GL,1547684382,100,72.79,-56.15,14.24,24.76
Waipawa,32,NZ,1547684416,94,-39.94,176.59,69.72,5.75
Pacific Grove,90,US,1547683320,67,36.62,-121.92,62.96,20.8
Talnakh,64,RU,1547684146,85,69.49,88.39,-0.08,3.51
Kieta,76,PG,1547684448,98,-6.22,155.63,82.82,3.62
Messina,5,IT,1547679300,75,38.19,15.55,44.6,2.24
Kungurtug,0,RU,1547684503,31,50.6,97.53,-25.64,2.62
Souillac,64,FR,1547681400,93,45.6,-0.6,48.2,11.41
Petropavlovsk-Kamchatskiy,90,RU,1547683200,80,53.05,158.65,30.2,24.61
Barinitas,20,VE,1547684435,77,8.76,-70.41,68.15,1.39
Carutapera,68,BR,1547684631,97,-1.2,-46.02,77.01,5.64
Sao Filipe,12,CV,1547684446,97,14.9,-24.5,71.84,12.8
Ahipara,48,NZ,1547684634,74,-35.17,173.16,70.89,15.26
Hasaki,20,JP,1547683200,44,35.73,140.83,41.0,3.36
Vilyuysk,64,RU,1547684636,53,63.75,121.63,-31.44,6.98
Mayo,90,CA,1547679600,85,63.59,-135.9,15.8,4.7
Ziro,20,IN,1547684639,64,27.54,93.82,39.21,2.17
Havre-Saint-Pierre,90,CA,1547683740,92,50.23,-63.6,23.0,12.75
Mount Isa,0,AU,1547683200,25,-20.73,139.49,96.8,5.82
Port Pirie,88,AU,1547683200,36,-33.18,138.01,91.4,14.99
Pingliang,0,CN,1547684644,64,35.54,106.68,-0.03,2.62
Rawson,0,AR,1547684417,28,-43.3,-65.11,64.37,10.11
Praia da Vitoria,20,PT,1547679600,100,38.73,-27.07,50.0,6.98
Cholet,75,FR,1547681400,100,47.06,-0.88,44.6,8.05
Buchanan,20,LR,1547683200,94,5.88,-10.05,75.2,10.33
Mahon,20,IE,1547683200,86,51.89,-8.4,39.2,16.11
Yerbogachen,48,RU,1547684426,84,61.28,108.01,-6.06,5.64
Baiyin,12,CN,1547683200,77,36.55,104.13,-0.41,4.47
Coromandel,0,NZ,1547683200,69,-36.76,175.5,73.4,17.22
Laguna,90,MX,1547682240,50,27.52,-110.01,75.2,9.17
Gat,0,SN,1547683200,64,14.69,-16.54,71.6,4.7
Tautira,40,PF,1547683200,66,-17.73,-149.15,87.8,14.99
Tarakan,75,ID,1547683200,88,3.3,117.63,78.8,2.24
Tiarei,40,PF,1547683200,66,-17.53,-149.33,87.8,14.99
Provideniya,90,RU,1547683200,92,64.42,-173.23,24.8,8.95
Darovskoy,76,RU,1547684667,89,58.77,47.96,20.09,7.43
Quatre Cocos,75,MU,1547683200,88,-20.21,57.76,78.8,3.36
Batemans Bay,0,AU,1547684519,73,-35.71,150.18,81.47,4.18
East London,92,ZA,1547684439,100,-33.02,27.91,72.29,22.86
Zhuhai,0,CN,1547683200,53,40.71,112.04,-4.01,4.47
